# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	13092	13544	-	WP_163500248.1	WP_163500248.1		hypothetical protein			G3568_RS00075	453	150	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	13541	14656	-							G3568_RS00080	1116		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	13541	14656	-	WP_163500250.1	WP_163500250.1		Fic family protein			G3568_RS00080	1116	371	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	14825	15316	-							G3568_RS00085	492		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	14825	15316	-	WP_163500252.1	WP_163500252.1		virulence RhuM family protein			G3568_RS00085	492	163	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	15487	16647	+					argE		G3568_RS00090	1161		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	15487	16647	+	WP_163504101.1	WP_163504101.1		acetylornithine deacetylase	argE		G3568_RS00090	1161	386	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	16702	17868	-							G3568_RS00095	1167		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	16702	17868	-	WP_163500254.1	WP_163500254.1		mandelate racemase/muconate lactonizing enzyme family protein			G3568_RS00095	1167	388	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	17878	18336	-							G3568_RS00100	459		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	17878	18336	-	WP_163500256.1	WP_163500256.1		tripartite tricarboxylate transporter TctB family protein			G3568_RS00100	459	152	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	18333	19871	-							G3568_RS00105	1539		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	18333	19871	-	WP_163500258.1	WP_163500258.1		tripartite tricarboxylate transporter permease			G3568_RS00105	1539	512	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	19971	20999	-							G3568_RS00110	1029		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	19971	20999	-	WP_240457731.1	WP_240457731.1		tripartite tricarboxylate transporter substrate binding protein			G3568_RS00110	1029	342	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	21090	21542	-							G3568_RS22815	453		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	21090	21542	-	WP_240458074.1	WP_240458074.1		FCD domain-containing protein			G3568_RS22815	453	150	
gene	pseudogene	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	21594	21695	-							G3568_RS22820	102		partial;pseudo
CDS	without_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	21594	21695	-				GntR family transcriptional regulator			G3568_RS22820	102		partial;pseudo
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	22002	22931	-							G3568_RS00120	930		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	22002	22931	-	WP_163500262.1	WP_163500262.1		SMP-30/gluconolactonase/LRE family protein			G3568_RS00120	930	309	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	22959	24758	-							G3568_RS00125	1800		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	22959	24758	-	WP_163500264.1	WP_163500264.1		dihydroxy-acid dehydratase family protein			G3568_RS00125	1800	599	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	24763	27144	-							G3568_RS00130	2382		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	24763	27144	-	WP_163500266.1	WP_163500266.1		glycoside hydrolase family 3 C-terminal domain-containing protein			G3568_RS00130	2382	793	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	27178	28584	-							G3568_RS00135	1407		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	27178	28584	-	WP_163500268.1	WP_163500268.1		sugar porter family MFS transporter			G3568_RS00135	1407	468	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	28666	29988	-							G3568_RS00140	1323		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	28666	29988	-	WP_163500270.1	WP_163500270.1		maltoporin			G3568_RS00140	1323	440	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	30100	30975	-							G3568_RS00145	876		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	30100	30975	-	WP_163500272.1	WP_163500272.1		aldose 1-epimerase			G3568_RS00145	876	291	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	30997	32037	-							G3568_RS00150	1041		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	30997	32037	-	WP_163500274.1	WP_163500274.1		ATP-binding cassette domain-containing protein			G3568_RS00150	1041	346	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	32092	33693	-							G3568_RS00155	1602		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	32092	33693	-	WP_163500276.1	WP_163500276.1		glycoside hydrolase family 43 protein			G3568_RS00155	1602	533	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	33699	34526	-							G3568_RS00160	828		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	33699	34526	-	WP_163500278.1	WP_163500278.1		carbohydrate ABC transporter permease			G3568_RS00160	828	275	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	34523	35455	-							G3568_RS00165	933		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	34523	35455	-	WP_095623502.1	WP_095623502.1		sugar ABC transporter permease			G3568_RS00165	933	310	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	35521	36810	-							G3568_RS00170	1290		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	35521	36810	-	WP_163500280.1	WP_163500280.1		extracellular solute-binding protein			G3568_RS00170	1290	429	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	36891	37661	-							G3568_RS00175	771		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	36891	37661	-	WP_163500281.1	WP_163500281.1		SDR family oxidoreductase			G3568_RS00175	771	256	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	37906	39189	+							G3568_RS00180	1284		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	37906	39189	+	WP_240457732.1	WP_240457732.1		ROK family protein			G3568_RS00180	1284	427	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	39300	40877	+							G3568_RS00185	1578		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	39300	40877	+	WP_163500283.1	WP_163500283.1		aldehyde dehydrogenase (NADP(+))			G3568_RS00185	1578	525	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	40881	42056	+							G3568_RS00190	1176		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	40881	42056	+	WP_163500285.1	WP_163500285.1		fumarylacetoacetate hydrolase family protein			G3568_RS00190	1176	391	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	42097	43260	-							G3568_RS00195	1164		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	42097	43260	-	WP_163500287.1	WP_163500287.1		Gfo/Idh/MocA family oxidoreductase			G3568_RS00195	1164	387	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	43274	44329	-							G3568_RS00200	1056		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	43274	44329	-	WP_163500289.1	WP_163500289.1		sugar phosphate isomerase/epimerase			G3568_RS00200	1056	351	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	44400	45362	-							G3568_RS00205	963		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	44400	45362	-	WP_240457733.1	WP_240457733.1		ABC transporter substrate-binding protein			G3568_RS00205	963	320	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	45416	46429	-							G3568_RS00210	1014		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	45416	46429	-	WP_163500291.1	WP_163500291.1		ABC transporter permease			G3568_RS00210	1014	337	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	46436	47938	-							G3568_RS00215	1503		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	46436	47938	-	WP_240457734.1	WP_240457734.1		sugar ABC transporter ATP-binding protein			G3568_RS00215	1503	500	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	47938	48708	-							G3568_RS00220	771		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	47938	48708	-	WP_163500293.1	WP_163500293.1		SDR family oxidoreductase			G3568_RS00220	771	256	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	48902	49126	+							G3568_RS22825	225		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	48902	49126	+	WP_240457735.1	WP_240457735.1		MarR family transcriptional regulator			G3568_RS22825	225	74	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	49153	50109	+							G3568_RS00225	957		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	49153	50109	+	WP_240457736.1	WP_240457736.1		ROK family protein			G3568_RS00225	957	318	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	50575	51447	+							G3568_RS00230	873		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	50575	51447	+	WP_163500295.1	WP_163500295.1		sugar phosphate isomerase/epimerase			G3568_RS00230	873	290	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	51497	52393	+							G3568_RS00235	897		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	51497	52393	+	WP_163500297.1	WP_163500297.1		TIM barrel protein			G3568_RS00235	897	298	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	52462	53718	-							G3568_RS00240	1257		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	52462	53718	-	WP_163500299.1	WP_163500299.1		ISL3 family transposase			G3568_RS00240	1257	418	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	53814	55472	+							G3568_RS00245	1659		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	53814	55472	+	WP_240457737.1	WP_240457737.1		GMC family oxidoreductase			G3568_RS00245	1659	552	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	55472	56026	+							G3568_RS00250	555		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	55472	56026	+	WP_163500301.1	WP_163500301.1		gluconate 2-dehydrogenase subunit 3 family protein			G3568_RS00250	555	184	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	56208	57368	+							G3568_RS00255	1161		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	56208	57368	+	WP_163500303.1	WP_163500303.1		carbohydrate porin			G3568_RS00255	1161	386	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	57530	58156	+							G3568_RS00260	627		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	57530	58156	+	WP_240457738.1	WP_240457738.1		DUF1080 domain-containing protein			G3568_RS00260	627	208	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	58303	59229	-							G3568_RS00265	927		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	58303	59229	-	WP_163500305.1	WP_163500305.1		Gfo/Idh/MocA family oxidoreductase			G3568_RS00265	927	308	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	59276	60049	-							G3568_RS00270	774		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	59276	60049	-	WP_163500307.1	WP_163500307.1		FCD domain-containing protein			G3568_RS00270	774	257	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	60081	61025	-							G3568_RS00275	945		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	60081	61025	-	WP_163500309.1	WP_163500309.1		DMT family transporter			G3568_RS00275	945	314	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	61027	62829	-							G3568_RS00280	1803		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	61027	62829	-	WP_163500311.1	WP_163500311.1		dihydroxy-acid dehydratase family protein			G3568_RS00280	1803	600	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	62903	64651	-							G3568_RS00285	1749		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	62903	64651	-	WP_163500312.1	WP_163500312.1		dihydroxy-acid dehydratase			G3568_RS00285	1749	582	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	64842	65921	+							G3568_RS00290	1080		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	64842	65921	+	WP_163500314.1	WP_163500314.1		TRAP transporter substrate-binding protein			G3568_RS00290	1080	359	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	65992	66558	+							G3568_RS00295	567		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	65992	66558	+	WP_163500316.1	WP_163500316.1		TRAP transporter small permease			G3568_RS00295	567	188	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	66571	67854	+							G3568_RS00300	1284		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	66571	67854	+	WP_163500318.1	WP_163500318.1		TRAP transporter large permease			G3568_RS00300	1284	427	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	67882	68883	+							G3568_RS00305	1002		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	67882	68883	+	WP_163500320.1	WP_163500320.1		FAH family protein			G3568_RS00305	1002	333	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	68903	70480	+							G3568_RS00310	1578		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	68903	70480	+	WP_163500322.1	WP_163500322.1		aldehyde dehydrogenase (NADP(+))			G3568_RS00310	1578	525	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	70582	72282	-							G3568_RS00315	1701		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	70582	72282	-	WP_163500324.1	WP_163500324.1		DEAD/DEAH box helicase			G3568_RS00315	1701	566	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	72889	73917	+							G3568_RS00320	1029		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	72889	73917	+	WP_163500326.1	WP_163500326.1		LacI family DNA-binding transcriptional regulator			G3568_RS00320	1029	342	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	73929	74936	+							G3568_RS00325	1008		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	73929	74936	+	WP_163500328.1	WP_163500328.1		ABC transporter substrate-binding protein			G3568_RS00325	1008	335	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	74939	75835	+							G3568_RS00330	897		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	74939	75835	+	WP_163500330.1	WP_163500330.1		ABC transporter permease			G3568_RS00330	897	298	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	75832	76620	+							G3568_RS00335	789		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	75832	76620	+	WP_163500333.1	WP_163500333.1		ABC transporter permease subunit			G3568_RS00335	789	262	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	76648	77730	+							G3568_RS00340	1083		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	76648	77730	+	WP_163500336.1	WP_163500336.1		ABC transporter ATP-binding protein			G3568_RS00340	1083	360	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	77723	78553	+							G3568_RS00345	831		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	77723	78553	+	WP_163500338.1	WP_163500338.1		phosphodiesterase			G3568_RS00345	831	276	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	78611	79060	+							G3568_RS00350	450		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	78611	79060	+	WP_163500340.1	WP_163500340.1		YaiI/YqxD family protein			G3568_RS00350	450	149	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	79065	80069	-							G3568_RS00355	1005		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	79065	80069	-	WP_163500342.1	WP_163500342.1		substrate-binding domain-containing protein			G3568_RS00355	1005	334	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	80497	81552	+							G3568_RS00360	1056		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	80497	81552	+	WP_163500344.1	WP_163500344.1		sugar phosphate isomerase/epimerase			G3568_RS00360	1056	351	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	81584	82744	+							G3568_RS00365	1161		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	81584	82744	+	WP_163500346.1	WP_163500346.1		Gfo/Idh/MocA family oxidoreductase			G3568_RS00365	1161	386	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	82737	84260	+							G3568_RS00370	1524		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	82737	84260	+	WP_163500348.1	WP_163500348.1		sugar ABC transporter ATP-binding protein			G3568_RS00370	1524	507	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	84262	85257	+							G3568_RS00375	996		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	84262	85257	+	WP_163500350.1	WP_163500350.1		ABC transporter permease			G3568_RS00375	996	331	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	85366	86334	+							G3568_RS00380	969		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	85366	86334	+	WP_163500352.1	WP_163500352.1		substrate-binding domain-containing protein			G3568_RS00380	969	322	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	86403	87407	-							G3568_RS00385	1005		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	86403	87407	-	WP_163500354.1	WP_163500354.1		glutathione S-transferase family protein			G3568_RS00385	1005	334	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	87487	88407	-							G3568_RS00390	921		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	87487	88407	-	WP_163500357.1	WP_163500357.1		LysR family transcriptional regulator			G3568_RS00390	921	306	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	88516	89364	+							G3568_RS00395	849		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	88516	89364	+	WP_163500359.1	WP_163500359.1		pirin family protein			G3568_RS00395	849	282	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	89581	91341	+							G3568_RS00400	1761		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	89581	91341	+	WP_163500361.1	WP_163500361.1		peptidoglycan DD-metalloendopeptidase family protein			G3568_RS00400	1761	586	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	91392	92639	-					codB		G3568_RS00405	1248		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	91392	92639	-	WP_163500363.1	WP_163500363.1		cytosine permease	codB		G3568_RS00405	1248	415	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	92748	94259	-							G3568_RS00410	1512		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	92748	94259	-	WP_163500365.1	WP_163500365.1		NCS1 family nucleobase:cation symporter-1			G3568_RS00410	1512	503	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	94877	95743	+							G3568_RS00415	867		
CDS	with_protein	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	94877	95743	+	WP_163500367.1	WP_163500367.1		acyltransferase			G3568_RS00415	867	288	
gene	protein_coding	GCF_010977575.1	Primary Assembly	chromosome		NZ_CP048812.1	95766	97208	+					hydA		G3568_RS00420	1443		
