# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	16954	17610	+					queE		BOX17_RS00085	657		old_locus_tag=BOX17_00085
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	16954	17610	+	WP_071941478.1	WP_071941478.1		7-carboxy-7-deazaguanine synthase	queE		BOX17_RS00085	657	218	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	17610	18455	+							BOX17_RS00090	846		old_locus_tag=BOX17_00090
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	17610	18455	+	WP_071941479.1	WP_071941479.1		6-carboxytetrahydropterin synthase			BOX17_RS00090	846	281	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	18452	18730	+							BOX17_RS00095	279		old_locus_tag=BOX17_00095
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	18452	18730	+	WP_071941480.1	WP_071941480.1		YkgJ family cysteine cluster protein			BOX17_RS00095	279	92	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	18850	22764	-							BOX17_RS00100	3915		old_locus_tag=BOX17_00100
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	18850	22764	-	WP_071941481.1	WP_071941481.1		AAA family ATPase			BOX17_RS00100	3915	1304	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	22798	23442	-							BOX17_RS00105	645		old_locus_tag=BOX17_00105
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	22798	23442	-	WP_071941482.1	WP_071941482.1		tRNA-(ms[2]io[6]A)-hydroxylase			BOX17_RS00105	645	214	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	23439	23894	-							BOX17_RS00110	456		old_locus_tag=BOX17_00110
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	23439	23894	-	WP_071941483.1	WP_071941483.1		DUF1289 domain-containing protein			BOX17_RS00110	456	151	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	24175	26778	+					acnB		BOX17_RS00115	2604		old_locus_tag=BOX17_00115
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	24175	26778	+	WP_071946502.1	WP_071946502.1		bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase	acnB		BOX17_RS00115	2604	867	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	26981	27469	+					rraA		BOX17_RS00120	489		old_locus_tag=BOX17_00120
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	26981	27469	+	WP_071941484.1	WP_071941484.1		ribonuclease E activity regulator RraA	rraA		BOX17_RS00120	489	162	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	27579	29462	+							BOX17_RS00125	1884		old_locus_tag=BOX17_00125
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	27579	29462	+	WP_083582020.1	WP_083582020.1		glycerophosphoryl diester phosphodiesterase membrane domain-containing protein			BOX17_RS00125	1884	627	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	29521	30012	-							BOX17_RS00130	492		old_locus_tag=BOX17_00130
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	29521	30012	-	WP_071941486.1	WP_071941486.1		hypothetical protein			BOX17_RS00130	492	163	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	30121	30903	-							BOX17_RS00135	783		old_locus_tag=BOX17_00135
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	30121	30903	-	WP_071941487.1	WP_071941487.1		universal stress protein			BOX17_RS00135	783	260	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	30893	33301	-							BOX17_RS00140	2409		old_locus_tag=BOX17_00140
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	30893	33301	-	WP_071941488.1	WP_071941488.1		ATP-binding protein			BOX17_RS00140	2409	802	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	33492	34163	-							BOX17_RS17020	672		old_locus_tag=BOX17_00145
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	33492	34163	-	WP_071941489.1	WP_071941489.1		anti-virulence regulator CigR family protein			BOX17_RS17020	672	223	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	34287	36659	-					ppsA		BOX17_RS00150	2373		old_locus_tag=BOX17_00150
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	34287	36659	-	WP_071941490.1	WP_071941490.1		phosphoenolpyruvate synthase	ppsA		BOX17_RS00150	2373	790	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	36992	37825	+							BOX17_RS00155	834		old_locus_tag=BOX17_00155
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	36992	37825	+	WP_071941491.1	WP_071941491.1		kinase/pyrophosphorylase			BOX17_RS00155	834	277	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	37822	39027	-							BOX17_RS00160	1206		old_locus_tag=BOX17_00160
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	37822	39027	-	WP_071941492.1	WP_071941492.1		CoA transferase			BOX17_RS00160	1206	401	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	39084	40265	-							BOX17_RS00165	1182		old_locus_tag=BOX17_00165
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	39084	40265	-	WP_071941493.1	WP_071941493.1		acyl-CoA dehydrogenase			BOX17_RS00165	1182	393	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	40368	41747	-							BOX17_RS00170	1380		old_locus_tag=BOX17_00170
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	40368	41747	-	WP_071941494.1	WP_071941494.1		MATE family efflux transporter			BOX17_RS00170	1380	459	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	41815	42717	-					mmsB		BOX17_RS00175	903		old_locus_tag=BOX17_00175
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	41815	42717	-	WP_071941495.1	WP_071941495.1		3-hydroxyisobutyrate dehydrogenase	mmsB		BOX17_RS00175	903	300	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	42785	43933	-							BOX17_RS00180	1149		old_locus_tag=BOX17_00180
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	42785	43933	-	WP_071941496.1	WP_071941496.1		enoyl-CoA hydratase/isomerase family protein			BOX17_RS00180	1149	382	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	43968	45134	-							BOX17_RS00185	1167		old_locus_tag=BOX17_00185
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	43968	45134	-	WP_071941497.1	WP_071941497.1		acyl-CoA dehydrogenase family protein			BOX17_RS00185	1167	388	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	45418	45861	+							BOX17_RS00190	444		old_locus_tag=BOX17_00190
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	45418	45861	+	WP_071941498.1	WP_071941498.1		MerR family DNA-binding transcriptional regulator			BOX17_RS00190	444	147	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	45960	47651	+							BOX17_RS00195	1692		old_locus_tag=BOX17_00195
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	45960	47651	+	WP_071941499.1	WP_071941499.1		AMP-binding protein			BOX17_RS00195	1692	563	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	47754	48332	-							BOX17_RS00200	579		old_locus_tag=BOX17_00200
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	47754	48332	-	WP_071941500.1	WP_071941500.1		hypoxanthine-guanine phosphoribosyltransferase			BOX17_RS00200	579	192	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	48382	49395	-					nagZ		BOX17_RS00205	1014		old_locus_tag=BOX17_00205
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	48382	49395	-	WP_071941501.1	WP_071941501.1		beta-N-acetylhexosaminidase	nagZ		BOX17_RS00205	1014	337	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	49575	50393	+							BOX17_RS00210	819		old_locus_tag=BOX17_00210
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	49575	50393	+	WP_071946504.1	WP_071946504.1		A24 family peptidase			BOX17_RS00210	819	272	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	50435	51046	+					coaE		BOX17_RS00215	612		old_locus_tag=BOX17_00215
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	50435	51046	+	WP_071941502.1	WP_071941502.1		dephospho-CoA kinase	coaE		BOX17_RS00215	612	203	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	51088	51321	+					yacG		BOX17_RS00220	234		old_locus_tag=BOX17_00220
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	51088	51321	+	WP_071941503.1	WP_071941503.1		DNA gyrase inhibitor YacG	yacG		BOX17_RS00220	234	77	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	51318	52193	+							BOX17_RS00225	876		old_locus_tag=BOX17_00225
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	51318	52193	+	WP_071941504.1	WP_071941504.1		DNA replication terminus site-binding protein			BOX17_RS00225	876	291	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	52209	52523	-							BOX17_RS00230	315		old_locus_tag=BOX17_00230
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	52209	52523	-	WP_071941505.1	WP_071941505.1		hypothetical protein			BOX17_RS00230	315	104	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	52756	53136	-							BOX17_RS00235	381		old_locus_tag=BOX17_00235
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	52756	53136	-	WP_071941506.1	WP_071941506.1		DNA binding protein			BOX17_RS00235	381	126	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	53471	55144	-					rpsA		BOX17_RS00240	1674		old_locus_tag=BOX17_00240
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	53471	55144	-	WP_071941507.1	WP_071941507.1		30S ribosomal protein S1	rpsA		BOX17_RS00240	1674	557	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	55340	56029	-					cmk		BOX17_RS00245	690		old_locus_tag=BOX17_00245
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	55340	56029	-	WP_071941508.1	WP_071941508.1		(d)CMP kinase	cmk		BOX17_RS00245	690	229	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	56026	58398	-							BOX17_RS00250	2373		old_locus_tag=BOX17_00250
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	56026	58398	-	WP_244272172.1	WP_244272172.1		bifunctional prephenate dehydrogenase/3-phosphoshikimate 1-carboxyvinyltransferase			BOX17_RS00250	2373	790	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	58401	59492	-					pheA		BOX17_RS00255	1092		old_locus_tag=BOX17_00255
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	58401	59492	-	WP_071941509.1	WP_071941509.1		prephenate dehydratase	pheA		BOX17_RS00255	1092	363	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	59496	60599	-					serC		BOX17_RS00260	1104		old_locus_tag=BOX17_00260
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	59496	60599	-	WP_071941510.1	WP_071941510.1		3-phosphoserine/phosphohydroxythreonine transaminase	serC		BOX17_RS00260	1104	367	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	60615	63323	-					gyrA		BOX17_RS00265	2709		old_locus_tag=BOX17_00265
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	60615	63323	-	WP_071941511.1	WP_071941511.1		DNA gyrase subunit A	gyrA		BOX17_RS00265	2709	902	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	63430	63849	-							BOX17_RS00270	420		old_locus_tag=BOX17_00270
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	63430	63849	-	WP_071941512.1	WP_071941512.1		acyl-CoA thioesterase			BOX17_RS00270	420	139	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	64040	64972	+							BOX17_RS00275	933		old_locus_tag=BOX17_00275
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	64040	64972	+	WP_071941513.1	WP_071941513.1		recombination-associated protein RdgC			BOX17_RS00275	933	310	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	64999	66165	+							BOX17_RS00280	1167		old_locus_tag=BOX17_00280
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	64999	66165	+	WP_071946508.1	WP_071946508.1		1-acyl-sn-glycerol-3-phosphate acyltransferase			BOX17_RS00280	1167	388	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	66233	67384	+							BOX17_RS00285	1152		old_locus_tag=BOX17_00285
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	66233	67384	+	WP_071946510.1	WP_071946510.1		cation diffusion facilitator family transporter			BOX17_RS00285	1152	383	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	67472	68188	+							BOX17_RS00290	717		old_locus_tag=BOX17_00290
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	67472	68188	+	WP_071941514.1	WP_071941514.1		transglutaminase-like cysteine peptidase			BOX17_RS00290	717	238	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	68192	70123	+							BOX17_RS00295	1932		old_locus_tag=BOX17_00295
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	68192	70123	+	WP_071941515.1	WP_071941515.1		EAL domain-containing protein			BOX17_RS00295	1932	643	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	70188	70526	-							BOX17_RS00300	339		old_locus_tag=BOX17_00300
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	70188	70526	-	WP_071941516.1	WP_071941516.1		tryptophan synthase subunit beta like protein			BOX17_RS00300	339	112	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	70630	77484	-							BOX17_RS00305	6855		old_locus_tag=BOX17_00305
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	70630	77484	-	WP_071941517.1	WP_071941517.1		retention module-containing protein			BOX17_RS00305	6855	2284	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	77648	78253	-							BOX17_RS00310	606		old_locus_tag=BOX17_00310
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	77648	78253	-	WP_071941518.1	WP_071941518.1		response regulator transcription factor			BOX17_RS00310	606	201	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	78253	79680	-							BOX17_RS00315	1428		old_locus_tag=BOX17_00315
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	78253	79680	-	WP_071941519.1	WP_071941519.1		HlyD family type I secretion periplasmic adaptor subunit			BOX17_RS00315	1428	475	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	79680	81851	-							BOX17_RS00320	2172		old_locus_tag=BOX17_00320
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	79680	81851	-	WP_071941520.1	WP_071941520.1		type I secretion system permease/ATPase			BOX17_RS00320	2172	723	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	81941	84166	-							BOX17_RS00325	2226		old_locus_tag=BOX17_00325
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	81941	84166	-	WP_071941521.1	WP_071941521.1		TolC family outer membrane protein			BOX17_RS00325	2226	741	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	84581	84862	+							BOX17_RS00330	282		old_locus_tag=BOX17_00330
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	84581	84862	+	WP_071941522.1	WP_071941522.1		hypothetical protein			BOX17_RS00330	282	93	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	85010	86491	+					thiI		BOX17_RS00335	1482		old_locus_tag=BOX17_00335
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	85010	86491	+	WP_071941523.1	WP_071941523.1		tRNA 4-thiouridine(8) synthase ThiI	thiI		BOX17_RS00335	1482	493	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	86488	87186	-							BOX17_RS00340	699		old_locus_tag=BOX17_00340
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	86488	87186	-	WP_071941524.1	WP_071941524.1		TVP38/TMEM64 family protein			BOX17_RS00340	699	232	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	87542	89578	+					metG		BOX17_RS00345	2037		old_locus_tag=BOX17_00345
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	87542	89578	+	WP_071941525.1	WP_071941525.1		methionine--tRNA ligase	metG		BOX17_RS00345	2037	678	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	89588	90385	+					rsxB		BOX17_RS00350	798		old_locus_tag=BOX17_00350
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	89588	90385	+	WP_071946512.1	WP_071946512.1		electron transport complex subunit RsxB	rsxB		BOX17_RS00350	798	265	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	90393	91028	+					nth		BOX17_RS00355	636		old_locus_tag=BOX17_00355
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	90393	91028	+	WP_071941526.1	WP_071941526.1		endonuclease III	nth		BOX17_RS00355	636	211	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	91118	91876	+							BOX17_RS00360	759		old_locus_tag=BOX17_00360
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	91118	91876	+	WP_071941527.1	WP_071941527.1		YdcF family protein			BOX17_RS00360	759	252	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	91956	92225	+							BOX17_RS00365	270		old_locus_tag=BOX17_00365
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	91956	92225	+	WP_071941528.1	WP_071941528.1		hypothetical protein			BOX17_RS00365	270	89	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	92313	93248	-							BOX17_RS00370	936		old_locus_tag=BOX17_00370
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	92313	93248	-	WP_071941529.1	WP_071941529.1		sulfurtransferase			BOX17_RS00370	936	311	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	93368	94045	-							BOX17_RS00375	678		old_locus_tag=BOX17_00375
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	93368	94045	-	WP_071941530.1	WP_071941530.1		glutathione S-transferase			BOX17_RS00375	678	225	
gene	protein_coding	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	94245	94616	+							BOX17_RS00380	372		old_locus_tag=BOX17_00380
CDS	with_protein	GCF_001886615.1	Primary Assembly	chromosome		NZ_CP018139.1	94245	94616	+	WP_071941531.1	WP_071941531.1		response regulator			BOX17_RS00380	372	123	
